HomeTeam,AwayTeam,HomeScore,AwayScore,MatchDate,Tournament,MatchType,Result
D. Pereira,Llaneros,0,0,KOL
15 Eyl,,son-maclari,D
Llaneros,D. Tolima,1,0,KOL
7 Eyl,,son-maclari,H
Atl. Junior,Llaneros,4,0,KOL
30 Ağu,,son-maclari,H
Llaneros,D. Pasto,2,1,KOL
23 Ağu,,son-maclari,H
La Equidad,Llaneros,2,1,KOL
16 Ağu,,son-maclari,H
Llaneros,I. Medellin,0,1,KOL
11 Ağu,,son-maclari,A
D. Cali,Llaneros,0,3,KOL
2 Ağu,,son-maclari,A
Millonarios,Llaneros,0,1,KOL
29 Tem,,son-maclari,A
Llaneros,Chico,2,1,KOL
24 Tem,,son-maclari,H
U. Magdalena,Llaneros,0,0,KOL
19 Tem,,son-maclari,D
Llaneros,America Cali,0,0,KOL
12 Tem,,son-maclari,D
Envigado,Rio. Aguilas,1,1,KOL
7 Eyl,,son-maclari,D
Rio. Aguilas,Millonarios,1,2,KOL
30 Ağu,,son-maclari,A
Bucaramanga,Rio. Aguilas,4,0,KOL
25 Ağu,,son-maclari,H
Rio. Aguilas,Chico,2,0,KOL
17 Ağu,,son-maclari,H
Once Caldas,Rio. Aguilas,1,1,KOL
9 Ağu,,son-maclari,D
Rio. Aguilas,Fortaleza,2,2,KOL
4 Ağu,,son-maclari,D
America Cali,Rio. Aguilas,2,1,KOL
27 Tem,,son-maclari,H
Santa Fe,Rio. Aguilas,0,0,KOL
23 Tem,,son-maclari,D
Rio. Aguilas,Atl. Junior,2,3,KOL
19 Tem,,son-maclari,A
La Equidad,Rio. Aguilas,0,0,KOL
14 Tem,,son-maclari,D
Fortaleza,Rio. Aguilas,0,1,KOL
15 Kas,,son-maclari,A
Rio. Aguilas,Chico,0,1,KOL
11 Kas,,son-maclari,A
Alianza,Rio. Aguilas,3,0,KOL
7 Kas,,son-maclari,H
Rio. Aguilas,D. Tolima,0,1,KOL
3 Kas,,son-maclari,A
D. Pasto,Rio. Aguilas,3,1,KOL
30 Eki,,son-maclari,H
Atletico Mg,Botafogo,1,0,20.04.2025,BRE,rekabet-gecmisi,H
Atletico Mg,Botafogo,0,0,21.11.2024,BRE,rekabet-gecmisi,D
Botafogo,Atletico Mg,3,0,08.07.2024,BRE,rekabet-gecmisi,H
Atletico Mg,Botafogo,1,0,17.09.2023,BRE,rekabet-gecmisi,H
Botafogo,Atletico Mg,2,0,08.05.2023,BRE,rekabet-gecmisi,H
Atletico Mg,Botafogo,0,2,08.11.2022,BRE,rekabet-gecmisi,A
Botafogo,Atletico Mg,0,1,18.07.2022,BRE,rekabet-gecmisi,A
Atletico Mg,Botafogo,2,1,26.11.2020,BRE,rekabet-gecmisi,H
Botafogo,Atletico Mg,2,1,20.08.2020,BRE,rekabet-gecmisi,H
Atletico Mg,Botafogo,2,0,05.12.2019,BRE,rekabet-gecmisi,H
Botafogo,Atletico Mg,2,1,08.09.2019,BRE,rekabet-gecmisi,H
Atletico Mg,Botafogo,1,0,02.12.2018,BRE,rekabet-gecmisi,H
Botafogo,Atletico Mg,0,3,19.08.2018,BRE,rekabet-gecmisi,A
Atletico Mg,Botafogo,0,0,29.10.2017,BRE,rekabet-gecmisi,D
Botafogo,Atletico Mg,1,1,10.07.2017,BRE,rekabet-gecmisi,D
Botafogo,Mirassol,3,3,BRE
18 Eyl,,son-maclari,D
Sao Paulo,Botafogo,1,0,BRE
14 Eyl,,son-maclari,H
Botafogo,Bragantino,4,1,BRE
31 Ağu,,son-maclari,H
Juventude,Botafogo,1,3,BRE
25 Ağu,,son-maclari,A
Botafogo,Palmeiras,0,1,BRE
18 Ağu,,son-maclari,A
Fortaleza,Botafogo,0,5,BRE
10 Ağu,,son-maclari,A
Botafogo,Cruzeiro,0,2,BRE
3 Ağu,,son-maclari,A
Botafogo,Corinthians,1,1,BRE
27 Tem,,son-maclari,D
Recife,Botafogo,0,1,BRE
20 Tem,,son-maclari,A
Botafogo,Vitoria B.,0,0,BRE
17 Tem,,son-maclari,D
Vasco D.G.,Botafogo,0,2,BRE
13 Tem,,son-maclari,A
Botafogo,Ceara,3,2,BRE
5 Haz,,son-maclari,H
Santos,Botafogo,0,1,BRE
1 Haz,,son-maclari,A
Flamengo,Botafogo,0,0,BRE
19 May,,son-maclari,D
Botafogo,Internacion.,4,0,BRE
12 May,,son-maclari,H
Bahia,Botafogo,1,0,BRE
4 May,,son-maclari,H
Botafogo,Fluminense,2,0,BRE
27 Nis,,son-maclari,H
Atletico Mg,Botafogo,1,0,BRE
20 Nis,,son-maclari,H
Botafogo,Sao Paulo,2,2,BRE
17 Nis,,son-maclari,D
Bragantino,Botafogo,1,0,BRE
12 Nis,,son-maclari,H
Botafogo,Juventude,2,0,BRE
6 Nis,,son-maclari,H
Palmeiras,Botafogo,0,0,BRE
30 Mar,,son-maclari,D
Atletico Mg,Santos,1,1,BRE
14 Eyl,,son-maclari,D
Vitoria B.,Atletico Mg,1,0,BRE
1 Eyl,,son-maclari,H
Sao Paulo,Atletico Mg,2,0,BRE
25 Ağu,,son-maclari,H
Atletico Mg,Gremio,1,3,BRE
17 Ağu,,son-maclari,A
Vasco D.G.,Atletico Mg,1,1,BRE
10 Ağu,,son-maclari,D
Atletico Mg,Bragantino,2,1,BRE
4 Ağu,,son-maclari,H
Flamengo,Atletico Mg,1,0,BRE
28 Tem,,son-maclari,H
Palmeiras,Atletico Mg,3,2,BRE
20 Tem,,son-maclari,H
Bahia,Atletico Mg,2,1,BRE
13 Tem,,son-maclari,H
Atletico Mg,Internacion.,2,0,BRE
13 Haz,,son-maclari,H
Ceara,Atletico Mg,0,1,BRE
2 Haz,,son-maclari,A
Atletico Mg,Corinthians,0,0,BRE
25 May,,son-maclari,D
Cruzeiro,Atletico Mg,0,0,BRE
19 May,,son-maclari,D
Atletico Mg,Fluminense,3,2,BRE
11 May,,son-maclari,H
Juventude,Atletico Mg,0,1,BRE
6 May,,son-maclari,A
Mirassol,Atletico Mg,2,2,BRE
27 Nis,,son-maclari,D
Atletico Mg,Botafogo,1,0,BRE
20 Nis,,son-maclari,H
Santos,Atletico Mg,2,0,BRE
17 Nis,,son-maclari,H
Atletico Mg,Vitoria B.,2,2,BRE
14 Nis,,son-maclari,D
Atletico Mg,Sao Paulo,0,0,BRE
6 Nis,,son-maclari,D
Gremio,Atletico Mg,2,1,BRE
30 Mar,,son-maclari,H
Bahia,Ceara,1,0,22.04.2025,BRE,rekabet-gecmisi,H
Bahia,Ceara,1,1,28.10.2021,BRE,rekabet-gecmisi,D
Ceara,Bahia,1,2,17.06.2021,BRE,rekabet-gecmisi,A
Bahia,Ceara,0,2,06.12.2020,BRE,rekabet-gecmisi,A
Ceara,Bahia,2,0,24.08.2020,BRE,rekabet-gecmisi,H
Bahia,Ceara,1,2,22.10.2019,BRE,rekabet-gecmisi,A
Ceara,Bahia,0,0,09.06.2019,BRE,rekabet-gecmisi,D
Bahia,Ceara,2,1,15.11.2018,BRE,rekabet-gecmisi,H
Ceara,Bahia,0,2,30.08.2018,BRE,rekabet-gecmisi,A
Vasco D.G.,Ceara,2,2,BRE
15 Eyl,,son-maclari,D
Ceara,Juventude,0,1,BRE
30 Ağu,,son-maclari,A
Gremio,Ceara,0,0,BRE
24 Ağu,,son-maclari,D
Ceara,Bragantino,1,0,BRE
16 Ağu,,son-maclari,H
Palmeiras,Ceara,2,1,BRE
10 Ağu,,son-maclari,H
Ceara,Flamengo,1,1,BRE
4 Ağu,,son-maclari,D
Cruzeiro,Ceara,1,2,BRE
27 Tem,,son-maclari,A
Ceara,Mirassol,0,2,BRE
24 Tem,,son-maclari,A
Internacion.,Ceara,1,0,BRE
20 Tem,,son-maclari,H
Ceara,Corinthians,0,1,BRE
17 Tem,,son-maclari,A
Fortaleza,Ceara,0,1,BRE
14 Tem,,son-maclari,A
Botafogo,Ceara,3,2,BRE
5 Haz,,son-maclari,H
Ceara,Atletico Mg,0,1,BRE
2 Haz,,son-maclari,A
Ceara,Recife,2,0,BRE
17 May,,son-maclari,H
Santos,Ceara,0,0,BRE
13 May,,son-maclari,D
Ceara,Vitoria B.,1,0,BRE
4 May,,son-maclari,H
Ceara,Sao Paulo,1,1,BRE
27 Nis,,son-maclari,D
Bahia,Ceara,1,0,BRE
22 Nis,,son-maclari,H
Ceara,Vasco D.G.,2,1,BRE
16 Nis,,son-maclari,H
Juventude,Ceara,2,1,BRE
12 Nis,,son-maclari,H
Ceara,Gremio,2,0,BRE
6 Nis,,son-maclari,H
Bragantino,Ceara,2,2,BRE
1 Nis,,son-maclari,D
Bahia,Cruzeiro,1,2,BRE
16 Eyl,,son-maclari,A
Mirassol,Bahia,5,1,BRE
1 Eyl,,son-maclari,H
Bahia,Santos,2,0,BRE
24 Ağu,,son-maclari,H
Corinthians,Bahia,1,2,BRE
17 Ağu,,son-maclari,A
Bahia,Fluminense,3,3,BRE
10 Ağu,,son-maclari,D
Recife,Bahia,0,0,BRE
2 Ağu,,son-maclari,D
Bahia,Juventude,3,0,BRE
28 Tem,,son-maclari,H
Fortaleza,Bahia,1,1,BRE
19 Tem,,son-maclari,D
Bahia,Atletico Mg,2,1,BRE
13 Tem,,son-maclari,H
Bragantino,Bahia,0,3,BRE
13 Haz,,son-maclari,A
Bahia,Sao Paulo,2,1,BRE
1 Haz,,son-maclari,H
Gremio,Bahia,1,0,BRE
25 May,,son-maclari,H
Bahia,Vitoria B.,2,1,BRE
18 May,,son-maclari,H
Flamengo,Bahia,1,0,BRE
11 May,,son-maclari,H
Bahia,Botafogo,1,0,BRE
4 May,,son-maclari,H
Palmeiras,Bahia,0,1,BRE
28 Nis,,son-maclari,A
Bahia,Ceara,1,0,BRE
22 Nis,,son-maclari,H
Cruzeiro,Bahia,3,0,BRE
18 Nis,,son-maclari,H
Bahia,Mirassol,1,1,BRE
13 Nis,,son-maclari,D
Santos,Bahia,2,2,BRE
7 Nis,,son-maclari,D
Bahia,Corinthians,1,1,BRE
31 Mar,,son-maclari,D
San Antonio,Independient,4,2,02.05.2025,PRO,rekabet-gecmisi,H
San Antonio,Independient,3,1,12.12.2024,PRO,rekabet-gecmisi,H
Independient,San Antonio,3,3,25.08.2024,PRO,rekabet-gecmisi,D
Independient,San Antonio,3,1,29.04.2024,PRO,rekabet-gecmisi,H
San Antonio,Independient,6,1,22.04.2024,PRO,rekabet-gecmisi,H
Independient,Blooming,3,0,PRO
16 Eyl,,son-maclari,H
Cdt Real Oru,Independient,3,4,PRO
25 Ağu,,son-maclari,A
Independient,J.Wilsterman,2,1,PRO
21 Ağu,,son-maclari,H
GV San Jose,Independient,2,1,PRO
10 Ağu,,son-maclari,H
Academia del,Independient,1,2,PRO
30 Tem,,son-maclari,A
Always Ready,Independient,5,0,PRO
21 Tem,,son-maclari,H
Independient,Universitari,1,1,PRO
12 Tem,,son-maclari,D
Bolivar,Independient,4,0,PRO
8 Tem,,son-maclari,H
Guabira,Independient,1,1,PRO
1 Tem,,son-maclari,D
Independient,N. Potosi,1,1,PRO
22 Haz,,son-maclari,D
Independient,Aurora,2,4,PRO
27 May,,son-maclari,A
Real Tomay.,Independient,3,3,PRO
17 May,,son-maclari,D
Independient,O.Petrolero,5,2,PRO
11 May,,son-maclari,H
San Antonio,Independient,4,2,PRO
2 May,,son-maclari,H
Independient,T. Strongest,1,1,PRO
27 Nis,,son-maclari,D
Blooming,Independient,3,1,PRO
20 Nis,,son-maclari,H
Independient,Cdt Real Oru,0,0,PRO
12 Nis,,son-maclari,D
Independient,GV San Jose,0,2,PRO
6 Nis,,son-maclari,A
J.Wilsterman,Independient,0,1,PRO
30 Mar,,son-maclari,A
J.Wilsterman,Independient,3,2,PRO
22 Ara,,son-maclari,H
Independient,Always Ready,3,7,PRO
18 Ara,,son-maclari,A
San Antonio,Independient,3,1,PRO
12 Ara,,son-maclari,H
Independient,Universitari,3,2,PRO
10 Ara,,son-maclari,H
N. Potosi,Independient,2,0,PRO
8 Ara,,son-maclari,H
Independient,Real Tomay.,2,1,PRO
5 Ara,,son-maclari,H
Independient,T. Strongest,0,2,PRO
1 Ara,,son-maclari,A
Real Santa,Independient,0,2,PRO
28 Kas,,son-maclari,A
O.Petrolero,Independient,1,1,PRO
23 Kas,,son-maclari,D
Independient,Blooming,5,1,PRO
21 Kas,,son-maclari,H
Aurora,Independient,2,0,PRO
1 Kas,,son-maclari,H
Guabira,Independient,1,2,PRO
28 Eki,,son-maclari,A
Independient,Royal Pari,2,2,PRO
24 Eki,,son-maclari,D
Independient,GV San Jose,0,1,PRO
28 Eyl,,son-maclari,A
San Antonio,O.Petrolero,1,1,PRO
16 Eyl,,son-maclari,D
N. Potosi,San Antonio,2,3,PRO
14 Eyl,,son-maclari,A
San Antonio,Aurora,1,2,PRO
23 Ağu,,son-maclari,A
J.Wilsterman,San Antonio,0,3,PRO
13 Ağu,,son-maclari,A
San Antonio,Bolivar,0,1,PRO
6 Ağu,,son-maclari,A
San Antonio,Academia del,4,0,PRO
2 Ağu,,son-maclari,H
Cdt Real Oru,San Antonio,0,2,PRO
20 Tem,,son-maclari,A
Real Tomay.,San Antonio,1,1,PRO
6 Tem,,son-maclari,D
San Antonio,GV San Jose,2,0,PRO
28 Haz,,son-maclari,H
Universitari,San Antonio,1,1,PRO
22 Haz,,son-maclari,D
San Antonio,Guabira,1,1,PRO
14 Haz,,son-maclari,D
Always Ready,San Antonio,5,2,PRO
25 May,,son-maclari,H
San Antonio,Blooming,2,2,PRO
18 May,,son-maclari,D
T. Strongest,San Antonio,6,3,PRO
12 May,,son-maclari,H
San Antonio,Independient,4,2,PRO
2 May,,son-maclari,H
O.Petrolero,San Antonio,1,1,PRO
27 Nis,,son-maclari,D
San Antonio,N. Potosi,2,2,PRO
18 Nis,,son-maclari,D
Aurora,San Antonio,2,0,PRO
13 Nis,,son-maclari,H
San Antonio,J.Wilsterman,2,0,PRO
5 Nis,,son-maclari,H
Academia del,San Antonio,2,0,PRO
29 Mar,,son-maclari,H
San Antonio,Bolivar,0,2,PRO
23 Ara,,son-maclari,A
T. Strongest,San Antonio,8,0,PRO
19 Ara,,son-maclari,H
San Antonio,Independient,3,1,PRO
12 Ara,,son-maclari,H
San Antonio,Bolivar,1,3,PRO
10 Ara,,son-maclari,A
V. Redonda,Amazonas,1,1,20.05.2025,BRE2,rekabet-gecmisi,D
Regatas,Amazonas,2,0,BRE2
16 Eyl,,son-maclari,H
Amazonas,Remo,1,3,BRE2
5 Eyl,,son-maclari,A
Atletico GO,Amazonas,2,0,BRE2
31 Ağu,,son-maclari,H
Avai,Amazonas,1,2,BRE2
26 Ağu,,son-maclari,A
Amazonas,A. Mineiro,2,2,BRE2
16 Ağu,,son-maclari,D
Ferroviaria,Amazonas,2,1,BRE2
9 Ağu,,son-maclari,H
Amazonas,Goias,2,2,BRE2
3 Ağu,,son-maclari,D
Coritiba,Amazonas,1,1,BRE2
27 Tem,,son-maclari,D
Amazonas,Paysandu,1,1,BRE2
24 Tem,,son-maclari,D
Amazonas,Botafogo SP,3,0,BRE2
20 Tem,,son-maclari,H
Cuiaba,Amazonas,3,1,BRE2
16 Tem,,son-maclari,H
Amazonas,A.Paranaense,0,1,BRE2
6 Tem,,son-maclari,A
Novorizonti.,Amazonas,1,1,BRE2
30 Haz,,son-maclari,D
Amazonas,Vila Nova,2,1,BRE2
23 Haz,,son-maclari,H
Criciuma,Amazonas,3,2,BRE2
16 Haz,,son-maclari,H
Amazonas,Athletic Clb,1,0,BRE2
10 Haz,,son-maclari,H
Chapecoense,Amazonas,4,0,BRE2
3 Haz,,son-maclari,H
Amazonas,Operario,2,0,BRE2
26 May,,son-maclari,H
V. Redonda,Amazonas,1,1,BRE2
20 May,,son-maclari,D
Amazonas,Regatas,1,1,BRE2
13 May,,son-maclari,D
Remo,Amazonas,1,0,BRE2
3 May,,son-maclari,H
Amazonas,Atletico GO,1,1,BRE2
27 Nis,,son-maclari,D
Amazonas,Avai,0,2,BRE2
22 Nis,,son-maclari,A
A. Mineiro,Amazonas,3,1,BRE2
18 Nis,,son-maclari,H
Amazonas,Ferroviaria,0,0,BRE2
13 Nis,,son-maclari,D
Goias,Amazonas,1,0,BRE2
5 Nis,,son-maclari,H
V. Redonda,Criciuma,0,0,BRE2
13 Eyl,,son-maclari,D
Paysandu,V. Redonda,1,2,BRE2
6 Eyl,,son-maclari,A
V. Redonda,Athletic Clb,0,2,BRE2
1 Eyl,,son-maclari,A
Ferroviaria,V. Redonda,0,0,BRE2
25 Ağu,,son-maclari,D
V. Redonda,Regatas,0,1,BRE2
19 Ağu,,son-maclari,A
V. Redonda,Novorizonti.,0,0,BRE2
10 Ağu,,son-maclari,D
Cuiaba,V. Redonda,2,0,BRE2
5 Ağu,,son-maclari,H
V. Redonda,Vila Nova,2,1,BRE2
27 Tem,,son-maclari,H
Chapecoense,V. Redonda,4,2,BRE2
24 Tem,,son-maclari,H
V. Redonda,A.Paranaense,3,2,BRE2
20 Tem,,son-maclari,H
Botafogo SP,V. Redonda,0,0,BRE2
15 Tem,,son-maclari,D
Coritiba,V. Redonda,2,0,BRE2
5 Tem,,son-maclari,H
V. Redonda,Operario,1,0,BRE2
29 Haz,,son-maclari,H
Atletico GO,V. Redonda,2,0,BRE2
22 Haz,,son-maclari,H
V. Redonda,Avai,1,1,BRE2
18 Haz,,son-maclari,D
Goias,V. Redonda,2,0,BRE2
8 Haz,,son-maclari,H
V. Redonda,A. Mineiro,1,0,BRE2
2 Haz,,son-maclari,H
Remo,V. Redonda,1,1,BRE2
25 May,,son-maclari,D
V. Redonda,Amazonas,1,1,BRE2
20 May,,son-maclari,D
Criciuma,V. Redonda,0,0,BRE2
11 May,,son-maclari,D
V. Redonda,Paysandu,1,0,BRE2
4 May,,son-maclari,H
Athletic Clb,V. Redonda,2,1,BRE2
27 Nis,,son-maclari,H
V. Redonda,Ferroviaria,0,0,BRE2
23 Nis,,son-maclari,D
Regatas,V. Redonda,1,0,BRE2
18 Nis,,son-maclari,H
Novorizonti.,V. Redonda,1,0,BRE2
13 Nis,,son-maclari,H
V. Redonda,Cuiaba,0,1,BRE2
7 Nis,,son-maclari,A
Ferroviaria,Avai,1,1,16.05.2025,BRE2,rekabet-gecmisi,D
Atletico GO,Avai,2,1,BRE2
17 Eyl,,son-maclari,H
Avai,Goias,2,1,BRE2
8 Eyl,,son-maclari,H
A. Mineiro,Avai,2,0,BRE2
3 Eyl,,son-maclari,H
Avai,Amazonas,1,2,BRE2
26 Ağu,,son-maclari,A
Operario,Avai,0,0,BRE2
20 Ağu,,son-maclari,D
Avai,Cuiaba,2,0,BRE2
10 Ağu,,son-maclari,H
Novorizonti.,Avai,1,1,BRE2
3 Ağu,,son-maclari,D
Avai,Botafogo SP,5,0,BRE2
29 Tem,,son-maclari,H
Remo,Avai,2,1,BRE2
25 Tem,,son-maclari,H
Avai,Vila Nova,1,1,BRE2
20 Tem,,son-maclari,D
Athletic Clb,Avai,4,0,BRE2
15 Tem,,son-maclari,H
Avai,Paysandu,0,0,BRE2
6 Tem,,son-maclari,D
Criciuma,Avai,1,2,BRE2
28 Haz,,son-maclari,A
Avai,A.Paranaense,1,2,BRE2
21 Haz,,son-maclari,A
V. Redonda,Avai,1,1,BRE2
18 Haz,,son-maclari,D
Avai,Regatas,1,0,BRE2
